,Name,Spacegroup,Volume,Band_gap
426,CsBr,Fm-3m,97.371,4.521
427,PdN,Fm-3m,21.549,0
428,HCl,Fmmm,33.546,2.341
429,BOs,P-6m2,20.876,0
430,HoIr,Pm-3m,39.313,0
431,TiPd,Pm-3m,31.607,0
432,MoC,Fm-3m,20.964,0
433,WN,Fm-3m,20.586,0
434,CdTe,F-43m,71.083,0.874
435,RbBr,Pm-3m,71.771,4.153
436,ErTe,Fm-3m,56.687,0
437,TaC,P-6m2,23.208,0
438,TaO,Fm-3m,22.412,0
439,HgPt,P4/mmm,35.800,0
440,Te,Imma,68.705,0
441,Zr,P63/mmc,46.747,0
442,Sb,P63/mmc,54.698,0
443,ReN,P-6m2,20.154,0
444,YZn,Pm-3m,45.435,0
445,ZrZn,Pm-3m,37.126,0
446,HoMg,Pm-3m,53.614,0
447,VN,Fm-3m,17.280,0
448,Ne,Fm-3m,10.336,13.832
449,ZnNi,F-43m,38.621,0
450,NdP,Fm-3m,51.102,0
451,UN,Fm-3m,28.586,0
452,Ge,Fd-3m,47.712,0
453,YbAs,Fm-3m,52.916,0
454,ReN,Pm-3m,19.680,0
455,HoIn,Pm-3m,52.893,0
456,TiGa,P4/mmm,31.156,0
457,NdAu,Pm-3m,50.436,0
458,RbCl,Pm-3m,62.022,5.126
459,PrAu,Pm-3m,51.466,0
460,YAs,Pm-3m,45.768,0
461,MoN,Fm-3m,20.428,0
462,TlHg,Pm-3m,55.243,0
463,NbIr,P4/mmm,32.126,0
464,DyTl,Pm-3m,53.537,0
465,YP,Pm-3m,41.914,0
466,HoPd,Pm-3m,42.061,0
467,TmPd,Pm-3m,40.964,0
468,YbGa,P4/mmm,46.005,0
469,AlOs,Pm-3m,27.491,0
470,TlSb,Pm-3m,57.744,0
471,YbPd,Pm-3m,40.957,0
472,AlPd,Pm-3m,28.885,0
473,TmAu,Pm-3m,44.204,0
474,Th,Fm-3m,31.875,0
475,ScBi,Fm-3m,53.931,0
476,US,Fm-3m,40.561,0
477,PrS,Fm-3m,48.740,0
478,TmTe,Fm-3m,56.106,0
479,ThSe,Fm-3m,52.560,0
480,PtN,F-43m,26.939,0
481,PtN,Fm-3m,22.359,0
482,GdAs,Fm-3m,50.731,0
483,YHg,Pm-3m,50.896,0
484,KI,Fm-3m,92.166,3.978
485,ZrHg,P4/mmm,42.620,0
486,ErTl,P4/mmm,52.040,0
487,HoMg,Pm-3m,53.583,0
488,LuIr,Pm-3m,37.418,0
489,CdS,F-43m,51.066,1.341
490,Ru,P63/mmc,27.484,0
491,Re,P63/mmc,29.708,0
492,Si,Fd-3m,40.825,0.773
493,YTe,Fm-3m,58.781,0
494,PtC,Fm-3m,22.370,0
495,MoN,P-6m2,20.370,0
496,ReN,Fm-3m,20.351,0
497,EuHg,Pm-3m,56.346,0
498,BAs,F-43m,27.861,1.416
